rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1510962728718790377,,213,,1510962728,717198970,'',"[-0.14493560791015625, 0.27208536863327026, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728738004908,,214,,1510962728,736290481,'',"[-0.12925873696804047, 0.27208536863327026, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728758903085,,215,,1510962728,757215377,'',"[-0.11750108003616333, 0.27208536863327026, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728761833033,,216,,1510962728,760254752,'',"[-0.1057434231042862, 0.27208536863327026, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728769843189,,217,,1510962728,768185637,'',"[-0.09398576617240906, 0.27208536863327026, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728793833137,,218,,1510962728,792200898,'',"[-0.07830888777971268, 0.27208536863327026, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728806631939,,219,,1510962728,805157304,'',"[-0.06655123084783554, 0.27208536863327026, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728994421054,,220,,1510962728,992338554,'',"[-0.06655123084783554, 0.2881477475166321, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728998806418,,221,,1510962728,997159908,'',"[-0.06655123084783554, 0.3042100965976715, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729001719647,,222,,1510962729,235377,'',"[-0.06655123084783554, 0.3202724754810333, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729018019752,,223,,1510962729,16419127,'',"[-0.06655123084783554, 0.3323192596435547, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729031204700,,224,,1510962729,29232564,'',"[-0.06655123084783554, 0.3483816385269165, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729048232512,,225,,1510962729,45305741,'',"[-0.06655123084783554, 0.3644440174102783, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729050081939,,226,,1510962729,48263345,'',"[-0.06655123084783554, 0.38050639629364014, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729073906314,,227,,1510962729,72189387,'',"[-0.06655123084783554, 0.3925531506538391, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729114795845,,228,,1510962729,112227512,'',"[-0.06655123084783554, 0.4045999348163605, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729129958918,,229,,1510962729,128141418,'',"[-0.06655123084783554, 0.41664671897888184, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729383689179,,230,,1510962729,381328554,'',"[-0.06655123084783554, 0.4286935031414032, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729409790949,,231,,1510962729,408124335,'',"[-0.06655123084783554, 0.444755882024765, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729426120272,,232,,1510962729,424140533,'',"[-0.06655123084783554, 0.4648338556289673, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729447229804,,233,,1510962729,445542720,'',"[-0.06655123084783554, 0.47688060998916626, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729505638345,,234,,1510962729,504112356,'',"[-0.06655123084783554, 0.4889273941516876, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729977814022,,235,,1510962729,976214126,'',"[-0.05087435618042946, 0.4889273941516876, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729985795689,,236,,1510962729,984205428,'',"[-0.03911669924855232, 0.4889273941516876, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962729999203345,,237,,1510962729,997517512,'',"[-0.027359040454030037, 0.4568026661872864, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730001823449,,238,,1510962730,138501,'',"[-0.011682163923978806, 0.4568026661872864, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730006764230,,239,,1510962730,5211157,'',"[-0.0, 0.4568026661872864, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730009676678,,240,,1510962730,8178345,'',"[-0.0, 0.4367246925830841, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730017920637,,241,,1510962730,16190168,'',"[-0.0, 0.41664671897888184, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730026389803,,242,,1510962730,24122460,'',"[-0.0, 0.40058434009552, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730038925012,,243,,1510962730,37151314,'',"[-0.0, 0.3845219612121582, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730041869178,,244,,1510962730,40208241,'',"[-0.0, 0.3845219612121582, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730055060012,,245,,1510962730,53139230,'',"[-0.0, 0.3684596121311188, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730062850741,,246,,1510962730,61197720,'',"[-0.0, 0.3684596121311188, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730070876835,,247,,1510962730,69164387,'',"[-0.0, 0.35239723324775696, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730078777512,,248,,1510962730,77174960,'',"[-0.0, 0.35239723324775696, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730094955793,,249,,1510962730,93321105,'',"[0.0006312512559816241, 0.33633485436439514, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730110994543,,250,,1510962730,109367720,'',"[0.047661881893873215, 0.31625688076019287, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730118744907,,251,,1510962730,117114751,'',"[0.047661881893873215, 0.30019450187683105, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730126801522,,252,,1510962730,125206626,'',"[0.05941953882575035, 0.30019450187683105, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730129613293,,253,,1510962730,128073449,'',"[0.05941953882575035, 0.2841321527957916, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730135260428,,254,,1510962730,133277564,'',"[0.07509641349315643, 0.2841321527957916, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730151518501,,255,,1510962730,149470585,'',"[0.09077329188585281, 0.2680697739124298, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
