67,-0.28248,-3.8669,-2.8131
67.5,-0.35449,-3.8836,-2.8633
68,-0.37502,-3.8847,-2.9006
68.5,-0.37744,-3.8848,-2.9031
69,-0.4518,-3.8852,-3.0036
69.5,-0.68056,-3.8379,-3.3307
70,-0.9612,-3.66,-3.7609
70.5,-1.1458,-3.3345,-4.2788
71,-1.1486,-2.9204,-4.7861
71.5,-1.0627,-2.5673,-4.9302
72,-1.012,-2.3748,-4.954
72.5,-0.9987,-2.3224,-4.9614
73,-0.9998,-2.3252,-4.9612
73.5,-0.98213,-2.2633,-4.963
74,-0.79983,-1.6496,-5.0252
74.5,-0.5458,-1.015,-5.1549
75,-0.32701,-0.61285,-5.2246
75.5,-0.14318,-0.30962,-5.2664
76,0.0091074,-0.080245,-5.2967
76.5,0.12649,0.085504,-5.3248
77,0.20974,0.19899,-5.3355
77.5,0.27258,0.28854,-5.3277
78,0.39104,0.47615,-5.267
78.5,0.48983,0.67675,-5.1635
79,0.55044,0.85735,-5.0563
79.5,0.57613,1.0049,-4.9267
80,0.57473,1.0849,-4.824
80.5,0.54246,1.2567,-4.5924
81,0.3632,1.5652,-4.1097
81.5,-0.053494,1.7889,-3.4533
82,-0.36144,1.7593,-3.0003
82.5,-0.56438,1.658,-2.6861
83,-0.81576,1.3486,-2.1221
83.5,-0.84477,0.85843,-1.4265
84,-0.49594,0.207,-0.97093
84.5,0.074567,-0.39137,-0.70278
85,0.76085,-1.1004,-0.97301
85.5,0.93615,-1.8883,-1.9514
86,0.6606,-2.169,-2.5384
86.5,0.24874,-2.5029,-2.3123
87,0.062116,-2.9787,-1.7982
87.5,-0.06153,-3.3986,-2.0139
88,-0.29849,-3.613,-2.4603
88.5,-0.48534,-3.678,-2.7575
89,-0.53991,-3.6857,-2.8374
89.5,-0.56911,-3.6892,-2.8788
90,-0.71076,-3.6849,-3.0755
90.5,-0.94488,-3.6159,-3.3999
91,-1.1812,-3.4348,-3.8086
91.5,-1.3264,-3.143,-4.2833
92,-1.3188,-2.7778,-4.8038
92.5,-1.1521,-2.4067,-5.178
93,-0.91511,-2.0141,-5.2784
93.5,-0.64171,-1.5564,-5.2146
94,-0.44262,-0.96444,-4.9399
94.5,-0.27477,-0.22901,-4.9437
95,-0.090932,0.50049,-4.9771
95.5,0.10122,1.1611,-5.0243
96,0.29327,1.7295,-5.0546
96.5,0.38414,1.9725,-5.067
97,0.52406,2.3091,-5.1327
97.5,0.78902,2.5952,-5.5947
98,1.1082,2.6877,-6.0551
98.5,1.3781,2.6488,-6.4438
99,1.5756,2.5353,-6.7868
99.5,1.6936,2.4068,-7.0524
100,1.7551,2.2981,-7.2302
100.5,1.7927,2.1998,-7.3822
101,1.8172,2.0684,-7.5785
101.5,1.8144,1.9212,-7.7951
102,1.7778,1.7694,-8.0132
102.5,1.6334,1.4751,-8.3187
